Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,VH,VA
Brazil,Serie A,2018,2018-06-06,01:30,Sao Paulo,Internacional,0,0,D,2.31,3.08,3.64,2.31,3.1,3.88,2.21,2.99,3.56,57300000.0,52930000.0
Brazil,Serie A,2018,2018-06-06,23:30,Botafogo RJ,Ceara,0,0,D,1.59,3.9,6.82,1.7,4.05,7.09,1.59,3.67,6.14,27800000.0,28550000.0
Brazil,Serie A,2018,2018-06-06,23:30,Vitoria,Chapecoense-SC,1,0,H,2.02,3.66,3.79,2.07,3.66,3.9,1.99,3.46,3.68,22280000.0,26850000.0
Brazil,Serie A,2018,2018-06-07,01:00,Corinthians,Santos,1,1,D,2.02,3.33,4.2,2.5,3.4,4.45,2.03,3.13,3.9,56950000.0,51100000.0
Brazil,Serie A,2018,2018-06-07,01:00,Sport Recife,Atletico-PR,1,0,H,2.06,3.55,3.75,2.12,3.65,3.86,2.03,3.38,3.61,21150000.0,30050000.0
Brazil,Serie A,2018,2018-06-07,01:45,Cruzeiro,Vasco,1,1,D,1.34,4.87,12.12,1.38,4.9,12.25,1.34,4.53,10.44,55000000.0,42750000.0
Brazil,Serie A,2018,2018-06-07,01:45,Gremio,Palmeiras,0,2,A,2.03,3.19,4.41,2.09,3.35,4.8,2.0,3.12,4.03,82200000.0,79050000.0
Brazil,Serie A,2018,2018-06-08,00:00,Fluminense,Flamengo RJ,0,2,A,4.8,3.23,1.94,5.16,3.42,1.97,4.45,3.2,1.89,30750000.0,88100000.0
Brazil,Serie A,2018,2018-06-08,00:00,Parana,Bahia,1,0,H,2.5,3.08,3.24,2.58,3.14,3.26,2.47,2.93,3.13,13000000.0,28850000.0
Brazil,Serie A,2018,2018-06-08,01:00,America MG,Atletico-MG,1,3,A,4.58,3.47,1.9,5.02,3.83,1.95,4.27,3.41,1.86,21580000.0,48300000.0
Brazil,Serie A,2018,2018-06-09,20:00,Atletico-PR,Sao Paulo,0,1,A,2.87,3.17,2.71,2.89,3.22,2.78,2.76,3.08,2.65,30050000.0,57300000.0
Brazil,Serie A,2018,2018-06-09,23:00,Chapecoense-SC,Cruzeiro,2,0,H,3.58,3.17,2.28,3.72,3.2,2.29,3.49,3.01,2.23,26850000.0,55000000.0
Brazil,Serie A,2018,2018-06-09,23:00,Vasco,Sport Recife,3,2,H,1.93,3.38,4.61,1.99,3.5,4.61,1.91,3.28,4.21,42750000.0,21150000.0
Brazil,Serie A,2018,2018-06-10,01:00,Corinthians,Vitoria,0,0,D,1.83,3.43,5.18,1.87,3.6,5.37,1.8,3.38,4.69,56950000.0,22280000.0
Brazil,Serie A,2018,2018-06-10,20:00,Atletico-MG,Fluminense,5,2,H,1.59,4.03,6.37,1.62,4.13,6.5,1.56,3.89,5.93,48300000.0,30750000.0
Brazil,Serie A,2018,2018-06-10,20:00,Bahia,Botafogo RJ,3,3,D,1.85,3.63,4.64,1.89,3.63,5.08,1.83,3.44,4.41,28850000.0,27800000.0
Brazil,Serie A,2018,2018-06-10,20:00,Ceara,Palmeiras,2,2,D,5.73,3.62,1.71,6.0,3.7,1.74,5.33,3.49,1.69,28550000.0,79050000.0
Brazil,Serie A,2018,2018-06-10,20:00,Gremio,America MG,1,0,H,1.32,4.99,13.01,1.37,5.04,13.14,1.33,4.62,10.59,82200000.0,21580000.0
Brazil,Serie A,2018,2018-06-10,23:00,Flamengo RJ,Parana,2,0,H,1.32,4.96,13.52,1.32,5.15,15.25,1.29,4.77,12.3,88100000.0,13000000.0
Brazil,Serie A,2018,2018-06-10,23:00,Santos,Internacional,1,2,A,2.38,3.13,3.4,2.39,3.28,3.6,2.28,3.1,3.29,51100000.0,52930000.0
Brazil,Serie A,2018,2018-06-13,01:30,Sao Paulo,Vitoria,3,0,H,1.42,4.74,8.44,1.44,4.92,10.0,1.4,4.56,7.64,57300000.0,22280000.0
Brazil,Serie A,2018,2018-06-13,20:00,America MG,Chapecoense-SC,0,0,D,2.18,3.2,3.8,2.2,3.3,3.9,2.12,3.16,3.6,21580000.0,26850000.0
Brazil,Serie A,2018,2018-06-13,23:00,Fluminense,Santos,0,1,A,2.69,3.21,2.87,2.71,3.4,3.0,2.57,3.16,2.77,30750000.0,51100000.0
Brazil,Serie A,2018,2018-06-13,23:30,Parana,Cruzeiro,1,1,D,3.95,3.0,2.24,3.95,3.2,2.27,3.74,2.96,2.17,13000000.0,55000000.0
Brazil,Serie A,2018,2018-06-13,23:30,Sport Recife,Gremio,0,0,D,3.31,3.13,2.43,3.35,3.2,2.6,3.11,2.98,2.44,21150000.0,82200000.0
Brazil,Serie A,2018,2018-06-14,01:00,Botafogo RJ,Atletico-PR,2,0,H,2.04,3.33,4.13,2.11,3.44,4.13,2.01,3.22,3.86,27800000.0,30050000.0
Brazil,Serie A,2018,2018-06-14,01:00,Palmeiras,Flamengo RJ,1,1,D,2.15,3.21,3.92,2.15,3.4,4.08,2.05,3.23,3.72,79050000.0,88100000.0
Brazil,Serie A,2018,2018-06-14,01:45,Atletico-MG,Ceara,2,1,H,1.31,5.71,10.79,1.31,5.85,12.0,1.29,5.32,10.03,48300000.0,28550000.0
Brazil,Serie A,2018,2018-06-14,01:45,Bahia,Corinthians,1,0,H,1.86,3.53,4.73,2.12,3.64,4.89,1.85,3.36,4.36,28850000.0,56950000.0
Brazil,Serie A,2018,2018-06-14,01:45,Internacional,Vasco,3,1,H,1.49,4.35,7.67,1.51,4.5,8.5,1.46,4.1,7.29,52930000.0,42750000.0
Brazil,Serie A,2018,2018-07-18,23:30,Ceara,Sport Recife,1,0,H,2.52,3.22,3.07,2.63,3.22,3.15,2.45,3.07,3.01,28550000.0,21150000.0
Brazil,Serie A,2018,2018-07-19,01:00,Vitoria,Parana,1,0,H,1.91,3.41,4.63,1.97,3.52,4.63,1.88,3.33,4.3,22280000.0,13000000.0
Brazil,Serie A,2018,2018-07-19,01:45,Corinthians,Botafogo RJ,2,0,H,1.93,3.4,4.5,1.98,3.54,4.51,1.92,3.28,4.18,56950000.0,27800000.0
Brazil,Serie A,2018,2018-07-19,01:45,Flamengo RJ,Sao Paulo,0,1,A,2.0,3.43,4.16,2.07,3.52,4.2,2.01,3.25,3.85,88100000.0,57300000.0
Brazil,Serie A,2018,2018-07-19,01:45,Gremio,Atletico-MG,2,0,H,1.6,3.98,6.43,1.67,3.98,6.7,1.6,3.7,5.91,82200000.0,48300000.0
Brazil,Serie A,2018,2018-07-19,23:30,Chapecoense-SC,Bahia,1,1,D,2.04,3.08,4.57,2.09,3.2,4.57,2.02,3.03,4.16,26850000.0,28850000.0
Brazil,Serie A,2018,2018-07-19,23:30,Cruzeiro,America MG,3,1,H,1.52,3.89,8.41,1.53,4.6,9.36,1.48,4.0,7.32,55000000.0,21580000.0
Brazil,Serie A,2018,2018-07-20,00:00,Santos,Palmeiras,1,1,D,2.61,3.27,2.91,2.7,3.27,2.97,2.57,3.13,2.8,51100000.0,79050000.0
Brazil,Serie A,2018,2018-07-20,00:00,Vasco,Fluminense,1,1,D,2.29,3.27,3.45,2.38,3.4,3.8,2.25,3.18,3.25,42750000.0,30750000.0
Brazil,Serie A,2018,2018-07-20,01:00,Atletico-PR,Internacional,2,2,D,2.66,3.11,2.98,2.72,3.12,3.1,2.61,2.95,2.89,30050000.0,52930000.0
Brazil,Serie A,2018,2018-07-21,23:00,Flamengo RJ,Botafogo RJ,2,0,H,1.69,3.58,6.16,1.74,3.68,6.16,1.67,3.51,5.49,88100000.0,27800000.0
Brazil,Serie A,2018,2018-07-22,01:00,Sao Paulo,Corinthians,3,1,H,2.11,3.1,4.22,2.15,3.25,4.32,2.05,3.08,3.95,57300000.0,56950000.0
Brazil,Serie A,2018,2018-07-22,20:00,Bahia,Vitoria,4,1,H,1.84,3.71,4.57,1.93,3.72,4.57,1.84,3.49,4.28,28850000.0,22280000.0
Brazil,Serie A,2018,2018-07-22,20:00,Palmeiras,Atletico-MG,3,2,H,1.56,4.27,6.28,1.61,4.29,6.51,1.55,4.02,5.85,79050000.0,48300000.0
Brazil,Serie A,2018,2018-07-22,20:00,Parana,America MG,1,0,H,2.35,3.15,3.44,2.48,3.17,3.8,2.29,2.99,3.4,13000000.0,21580000.0
Brazil,Serie A,2018,2018-07-22,20:00,Sport Recife,Fluminense,1,2,A,2.21,3.34,3.55,2.21,3.4,4.0,2.1,3.25,3.57,21150000.0,30750000.0
Brazil,Serie A,2018,2018-07-22,20:00,Vasco,Gremio,1,0,H,3.91,3.06,2.22,3.91,3.13,2.27,3.64,3.02,2.17,42750000.0,82200000.0
Brazil,Serie A,2018,2018-07-22,23:00,Chapecoense-SC,Santos,0,0,D,2.73,3.21,2.81,2.94,3.21,2.92,2.78,3.05,2.64,26850000.0,51100000.0
Brazil,Serie A,2018,2018-07-22,23:00,Cruzeiro,Atletico-PR,2,1,H,1.45,4.26,9.28,1.47,4.5,9.28,1.44,4.11,7.92,55000000.0,30050000.0
Brazil,Serie A,2018,2018-07-24,00:00,Internacional,Ceara,1,0,H,1.49,3.98,8.94,1.53,4.24,8.94,1.47,3.97,7.58,52930000.0,28550000.0
Brazil,Serie A,2018,2018-07-25,23:30,Fluminense,Palmeiras,1,0,H,3.39,3.39,2.26,3.46,3.48,2.29,3.27,3.27,2.2,30750000.0,79050000.0
Brazil,Serie A,2018,2018-07-26,01:00,Atletico-MG,Parana,2,0,H,1.49,4.18,8.16,1.51,4.54,8.22,1.47,4.17,6.94,48300000.0,13000000.0
Brazil,Serie A,2018,2018-07-26,01:45,Corinthians,Cruzeiro,2,0,H,3.41,3.03,2.44,3.51,3.1,2.53,3.31,2.93,2.36,56950000.0,55000000.0
Brazil,Serie A,2018,2018-07-26,01:45,Santos,Flamengo RJ,1,1,D,2.8,3.14,2.8,2.9,3.14,2.83,2.75,3.03,2.69,51100000.0,88100000.0
Brazil,Serie A,2018,2018-07-26,23:30,Botafogo RJ,Chapecoense-SC,1,0,H,1.83,3.44,5.15,1.89,3.5,5.15,1.83,3.29,4.67,27800000.0,26850000.0
Brazil,Serie A,2018,2018-07-26,23:30,Gremio,Sao Paulo,2,1,H,1.88,3.33,5.0,2.0,3.37,5.06,1.9,3.17,4.49,82200000.0,57300000.0
Brazil,Serie A,2018,2018-07-26,23:30,Vitoria,Sport Recife,1,0,H,2.24,3.52,3.31,2.3,3.52,3.44,2.19,3.31,3.24,22280000.0,21150000.0
Brazil,Serie A,2018,2018-07-27,00:00,America MG,Internacional,2,1,H,3.03,3.07,2.65,3.15,3.22,2.68,2.97,3.03,2.5,21580000.0,52930000.0
Brazil,Serie A,2018,2018-07-28,20:00,Ceara,Fluminense,1,0,H,2.62,3.27,2.9,2.82,3.27,2.97,2.61,3.09,2.77,28550000.0,30750000.0
Brazil,Serie A,2018,2018-07-29,15:00,Palmeiras,Parana,3,0,H,1.32,4.99,13.55,1.35,5.25,13.55,1.31,4.85,10.39,79050000.0,13000000.0
Brazil,Serie A,2018,2018-07-29,15:00,Vasco,Corinthians,1,4,A,2.88,3.06,2.79,2.98,3.22,2.79,2.81,2.99,2.66,42750000.0,56950000.0
Brazil,Serie A,2018,2018-07-29,20:00,Atletico-PR,Vitoria,4,0,H,1.67,4.21,5.14,1.73,4.4,5.27,1.66,3.92,4.85,30050000.0,22280000.0
